SERIES	SERIES_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	GEOLEVEL	GEOLEVEL_DESC	X	Y	REF_AREA	REF_AREA_DESC	TIME_PERIOD	SEX	SEX_DESC	AGE	AGE_DESC	INCOME_WEALTH_QUANTILE	INCOME_WEALTH_QUANTILE_DESC	OBS_VALUE	UNIT_MEASURE	UNIT_MEASURE_DESC	UNIT_MULT	UNIT_MULT_DESC	NATURE	NATURE_DESC	SOURCE_DETAIL	SOURCE_DETAIL_URL	TIME_DETAIL	COMMENT_OBS
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	M	Male	Y_GE15	15 years old and over	Q1	Quintile 1 (poorest)	18.0	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	M	Male	Y_GE15	15 years old and over	Q2	Quintile 2 (second poorest)	16.7	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	M	Male	Y_GE15	15 years old and over	Q3	Quintile 3 (middle)	15.3	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	M	Male	Y_GE15	15 years old and over	Q4	Quintile 4 (second richest)	15.4	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	M	Male	Y_GE15	15 years old and over	Q5	Quintile 5 (richest)	15.7	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	F	Female	Y_GE15	15 years old and over	Q1	Quintile 1 (poorest)	38.6	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	F	Female	Y_GE15	15 years old and over	Q2	Quintile 2 (second poorest)	37.7	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	F	Female	Y_GE15	15 years old and over	Q3	Quintile 3 (middle)	34.0	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	F	Female	Y_GE15	15 years old and over	Q4	Quintile 4 (second richest)	31.3	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
S_1090	Hours per week spent on unpaid domestic and care work, by sex, location and income quintile	R	Regional	4	Country or Area	-73.07446751	3.888209046	170	Colombia	2017	F	Female	Y_GE15	15 years old and over	Q5	Quintile 5 (richest)	27.8	HR_PER_WK	Hours per week	0	Units	nan	nan	Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of Repository of information on time use in Latin America and the Caribbean.	nan	nan	nan
